Year,Month,Day,Hour,Lat.,Long.,Pressure (hPa),Wind (kt),Class
2023,5,19,18,6.1,149.6,1004,0,2
2023,5,20,0,6.1,149.4,1004,0,2
2023,5,20,6,6.1,149.2,1004,0,2
2023,5,20,12,6.2,149.1,1000,35,3
2023,5,20,18,6.6,149.0,994,45,3
2023,5,21,0,7.0,148.7,992,50,4
2023,5,21,6,7.3,148.4,992,50,4
2023,5,21,12,7.6,147.9,990,55,4
2023,5,21,18,7.9,147.6,980,65,5
2023,5,22,0,8.6,147.3,980,65,5
2023,5,22,6,9.2,147.1,975,70,5
2023,5,22,12,9.8,146.9,970,75,5
2023,5,22,18,10.5,146.9,940,95,5
2023,5,23,0,11.2,146.9,940,95,5
2023,5,23,6,11.8,146.5,920,105,5
2023,5,23,12,12.2,146.0,920,105,5
2023,5,23,18,12.5,145.7,920,105,5
2023,5,24,0,13.1,145.5,935,95,5
2023,5,24,6,13.6,145.2,935,95,5
2023,5,24,12,13.8,144.7,935,95,5
2023,5,24,18,14.1,144.1,935,95,5
2023,5,25,0,14.2,143.5,925,100,5
2023,5,25,6,14.6,142.8,905,110,5
2023,5,25,12,14.8,141.5,900,115,5
2023,5,25,18,14.9,140.4,900,115,5
2023,5,26,0,15.1,139.2,900,115,5
2023,5,26,6,15.4,137.9,900,115,5
2023,5,26,12,15.7,136.5,900,115,5
2023,5,26,18,16.0,134.9,900,115,5
2023,5,27,0,16.4,133.5,910,105,5
2023,5,27,6,16.6,132.2,925,95,5
2023,5,27,12,16.8,130.9,945,85,5
2023,5,27,18,17.1,129.7,945,85,5
2023,5,28,0,17.2,128.7,945,85,5
2023,5,28,6,17.6,127.9,945,85,5
2023,5,28,12,18.0,127.4,945,85,5
2023,5,28,18,18.6,126.7,945,85,5
2023,5,29,0,19.0,126.2,945,85,5
2023,5,29,6,19.4,125.8,945,85,5
2023,5,29,12,19.7,125.6,945,85,5
2023,5,29,18,20.1,125.4,945,85,5
2023,5,30,0,20.3,125.1,950,80,5
2023,5,30,6,20.6,125.0,950,80,5
2023,5,30,12,20.8,125.0,955,70,5
2023,5,30,18,21.2,125.0,955,70,5
2023,5,31,0,21.4,125.1,955,70,5
2023,5,31,6,22.2,125.3,960,65,5
2023,5,31,9,22.5,125.4,960,65,5
2023,5,31,12,22.7,125.4,960,65,5
2023,5,31,15,23.0,125.5,960,65,5
2023,5,31,18,23.6,125.6,965,60,4
2023,5,31,21,23.8,125.7,965,60,4
2023,6,1,0,24.1,125.8,970,50,4
2023,6,1,3,24.6,126.0,970,50,4
2023,6,1,6,24.9,126.1,970,50,4
2023,6,1,9,25.4,126.6,970,50,4
2023,6,1,12,25.9,127.1,970,50,4
2023,6,1,15,26.4,127.6,970,50,4
2023,6,1,18,26.9,128.1,970,50,4
2023,6,1,21,27.2,128.8,970,50,4
2023,6,2,0,27.4,129.4,975,45,3
2023,6,2,6,28.2,131.0,975,45,3
2023,6,2,12,28.9,132.8,980,45,3
2023,6,2,18,29.7,135.2,980,45,3
2023,6,3,0,30.6,137.8,984,0,6
2023,6,3,6,32.4,140.8,990,0,6
2023,6,3,12,33.7,144.7,996,0,6
